ID,Start time,Completion time,Email,Name,What is your gender?,What is your age?,What is your current level of education?,What was the table about?,  When did you read this table?,How many times had you looked at that table before?,What did you do with the table?  Check all that apply,What kinds of tables do you usually look at on your phone? (check all that apply),What kind of Table is this survey asking about?,Reading tables on phones is generally,"If a table you want to read is hard to read on your phone, are you most likely to",What do you find hard about reading tables on your phone? (check all that apply),What would make it easier to look at tables on your phone?
40,6/9/21 10:00:58,6/9/21 10:03:32,anonymous,,Male,26,Undergraduate Student,"Schedule (Bus, event calendar, time sheet, etc.)",In the last week,More than once,Locate specific information;Analyze/compare rows or columns;Mark off my specific information needed ;,"Product Specifications;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,Use your phone anyway,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,If they were spaced better and set up so that they were actually mobile friendly. 
41,6/9/21 10:01:02,6/9/21 10:03:32,anonymous,,Male,48,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;Text is too close together;,Being able to highlight and freeze rows and columns. 
42,6/9/21 10:01:22,6/9/21 10:03:33,anonymous,,Female,29,Graduate Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,MAKING ZOON
43,6/9/21 10:00:35,6/9/21 10:03:34,anonymous,,Male,24,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,"Tables divided into more tables, so I could watch one at a time."
44,6/9/21 10:01:17,6/9/21 10:03:47,anonymous,,Male,26,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;,A piece of furniture with a flat top and one or more legs,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Table is too wide or too tall for screen;Hard to tell what text is in what row;,accessibility 
45,6/9/21 10:02:30,6/9/21 10:03:47,anonymous,,Female,45,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Text is too close together;Can’t see all the information I need at the same time;,Less information in the table or ability to choose which options from the table I want to pull out and compare
46,6/9/21 10:00:31,6/9/21 10:03:49,anonymous,,Male,52,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Edit the table;,Restaurant Menu;Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Table is too wide or too tall for screen;,If I could condense information to fewer rows and columns this would be useful. It would then likely fit on my screen.
47,6/9/21 10:02:10,6/9/21 10:03:52,anonymous,,Female,31,Bachelor's Degree,Restaurant Menu,In the last week,Once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"An Access query can give you an answer to a simple question, perform ... Using a query makes it easier to view, add, delete, or change data in your Access database. ... want to present through a form or report is usually located in multiple tables. ... In the query design grid, in the Criteria row of the City column, delete Las ...
"
48,6/9/21 10:01:10,6/9/21 10:04:02,anonymous,,Female,38,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Locate specific information;Copy/paste text from the table;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Table is too wide or too tall for screen;Text is too close together;,"Zooming process, light weight and easy to handle"
49,6/9/21 10:01:05,6/9/21 10:04:03,anonymous,,Male,44,High School Diploma or GED,TV episodes viewing order,In the last week,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,"Reflowable text and column size, so the columns can always fit while the text stays readable."
50,6/9/21 10:01:11,6/9/21 10:04:05,anonymous,,Male,21,Bachelor's Degree,"Schedule (Bus, event calendar, time sheet, etc.)",In the last week,More than once,Locate specific information;,"Schedule (Bus, event calendar, time sheet, etc.);Restaurant Menu;",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,adapt it to the screen resolution
51,6/9/21 10:02:16,6/9/21 10:04:13,anonymous,,Male,36,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;Text is too close together;,"All data tables have at least one independent variable and at least one dependent variable. If you are doing a science experiment, your data table should also have a control, something that will not change or be manipulated. The “control” in our heart rate example would be a resting heart rate."
52,6/9/21 10:00:28,6/9/21 10:04:15,anonymous,,Male,31,High School Diploma or GED,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,"if they are formatted in a top to bottom configuration and that I can easily scroll up or down to see all the information instead of having to scroll left or right. It needs to have bold text, something I dont have to squint my eyes at in order to read. "
53,6/9/21 10:02:16,6/9/21 10:04:15,anonymous,,Male,30,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Locate specific information;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,Use your phone anyway,Text is too small;,None
54,6/9/21 10:03:09,6/9/21 10:04:24,anonymous,,Male,27,Bachelor's Degree,Finance / Money / Receipt / Invoice,More than a month ago,Never,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,Text/Numbers arranged in rows and columns,Easy,Give up and not read the table,Can’t see all the information I need at the same time;,A larger screen on my phone.
55,6/9/21 10:00:54,6/9/21 10:04:25,anonymous,,Male,35,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Nutrition / Ingredient list / Dosage chart;,Text/Numbers arranged in rows and columns,Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Can’t see all the information I need at the same time;,If they can adapt to your phone screen size. Hate to scroll around to find info. Very time consuming 
56,6/9/21 10:03:20,6/9/21 10:04:25,anonymous,,Male,26,Graduate Degree,Restaurant Menu,In the last week,More than once,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;Copy/paste text from the table;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,price
57,6/9/21 10:01:46,6/9/21 10:04:32,anonymous,,Female,20,High School Diploma or GED,Restaurant Menu,In the last week,Once,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,Give up and not read the table,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"If they were meant to be seen on small screens too, it's just a matter of improving the design and formatting."
58,6/9/21 10:00:14,6/9/21 10:04:40,anonymous,,Male,27,Graduate Degree,test notes,In the last week,More than once,Locate specific information;,"Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);test notes;",Text/Numbers arranged in rows and columns,Hard,ctrl f to find the info I want ,Text is too close together;Table is too wide or too tall for screen;,the tables have been optimized to be edited and viewed on the pc. Maybe a new format or layout can improve data visualization
59,6/9/21 10:01:23,6/9/21 10:04:45,anonymous,,Female,38,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,"Use tabular lining numerals, consistent precision, and remove repetition."
60,6/9/21 10:00:41,6/9/21 10:04:55,anonymous,,Female,41,High School Diploma or GED,Covid-19 cases in my State,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,"Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;,"I guess a bigger screen would help, I've always wanted a foldable mobile so that I can open it and be comfortable when reading. Smartphone's screen are too small to read comfortably, I usually send the link to my computer by e-mail but I wish there was an easier solution."
61,6/9/21 10:02:22,6/9/21 10:05:04,anonymous,,Male,29,Graduate Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;Product Specifications;,A website that has lots of information on it,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,zoom view
62,6/9/21 10:03:14,6/9/21 10:05:05,anonymous,,Male,45,Bachelor's Degree,Restaurant Menu,In the last week,Once,Locate specific information;Analyze/compare rows or columns;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,"All data tables have at least one independent variable and at least one dependent variable. If you are doing a science experiment, your data table should also have a control, something that will not change or be manipulated. The “control” in our heart rate example would be a resting heart rate."
63,6/9/21 10:01:00,6/9/21 10:05:08,anonymous,,Female,40,High School Diploma or GED,Restaurant Menu,In the last week,More than once,Locate specific information;Read the entire table word for word;,Restaurant Menu;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,Give up and not read the table,Text is too small;Text is too close together;,I would like to have the option to use my fingers and move the information to make certain items easier to see
64,6/9/21 10:03:01,6/9/21 10:05:11,anonymous,,Male,25,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Text is too small;,the table
65,6/9/21 10:04:27,6/9/21 10:05:15,anonymous,,Male,32,Graduate Degree,Product Specifications,In the last week,Once,Analyze/compare rows or columns;,Restaurant Menu;,A piece of furniture with a flat top and one or more legs,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,good
66,6/9/21 10:03:31,6/9/21 10:05:16,anonymous,,Female,38,Associate's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Locate specific information;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what row;Hard to tell what text is in what column;,Ways to lock the header for the row or column so you can scroll around and see those easier
67,6/9/21 10:02:05,6/9/21 10:05:20,anonymous,,Female,65,Bachelor's Degree,Restaurant Menu,In the last week,More than once,Read the entire table word for word;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;,YES
68,6/9/21 10:00:52,6/9/21 10:05:24,anonymous,,Female,57,Graduate Degree,Product Specifications,In the last day,Once,Read the entire table word for word;,Finance / Money / Receipt / Invoice;,"What you eat your breakfast, lunch, or dinner on",Very Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Large texts
69,6/9/21 10:01:23,6/9/21 10:05:28,anonymous,,Male,37,Bachelor's Degree,Product Specifications,In the last week,Once,Locate specific information;,Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,"Good design for reading, all organized and user friendly."
70,6/9/21 10:02:21,6/9/21 10:05:32,anonymous,,Male,30,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Locate specific information;Analyze/compare rows or columns;,Nutrition / Ingredient list / Dosage chart;,"What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,Zooming the picture
71,6/9/21 10:00:02,6/9/21 10:05:36,anonymous,,Female,33,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;,Nutrition / Ingredient list / Dosage chart;Restaurant Menu;,Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Table is too wide or too tall for screen;,"When there is the option to zoom in the table, it is easier to read the information."
72,6/9/21 10:03:22,6/9/21 10:05:40,anonymous,,Male,47,Graduate Degree,Nutrition / Ingredient list / Dosage chart,More than a month ago,Never,Read the entire table word for word;Locate specific information;Analyze/compare rows or columns;Copy/paste text from the table;,Restaurant Menu;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Very Easy,Give up and not read the table,Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;Text is too close together;,samsung
73,6/9/21 10:01:45,6/9/21 10:05:47,anonymous,,Male,26,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,More than once,Read the entire table word for word;,Nutrition / Ingredient list / Dosage chart;Product Specifications;Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Easy,Use your phone anyway,Text is too small;,zoom
74,6/9/21 10:02:04,6/9/21 10:05:49,anonymous,,Male,33,Bachelor's Degree,Restaurant Menu,In the last week,Once,Locate specific information;,Restaurant Menu;,"What you eat your breakfast, lunch, or dinner on",Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;,I would not mind
75,6/9/21 10:04:36,6/9/21 10:05:54,anonymous,,Male,47,Graduate Degree,Restaurant Menu,In the last week,Once,Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;,A piece of furniture with a flat top and one or more legs,Easy,Give up and not read the table,Text is too small;Hard to tell what text is in what row;,Easy to book
76,6/9/21 10:00:51,6/9/21 10:05:55,anonymous,,Male,26,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Read the entire table word for word;Locate specific information;,Finance / Money / Receipt / Invoice;Restaurant Menu;,Text/Numbers arranged in rows and columns,Very Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too close together;,Letters and numbers are generally formatted to be seen on larger devices. The letters and numbers must be suitable for the phones.
77,6/9/21 10:03:36,6/9/21 10:05:55,anonymous,,Male,37,Graduate Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Never,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,scaling
78,6/9/21 10:02:55,6/9/21 10:06:00,anonymous,,Male,38,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last week,Once,Read the entire table word for word;,Restaurant Menu;,A piece of furniture with a flat top and one or more legs,Easy,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;,that responses
79,6/9/21 10:02:41,6/9/21 10:06:06,anonymous,,Male,31,Bachelor's Degree,Product Specifications,In the last week,Once,Analyze/compare rows or columns;Locate specific information;,Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Table is too wide or too tall for screen;,Structuring the table so that when scrolling through it could be functioned as continuous pages.
80,6/9/21 10:01:14,6/9/21 10:06:15,anonymous,,Male,30,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last day,More than once,Locate specific information;,Finance / Money / Receipt / Invoice;,information about reading tables,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;,invoice list of the purchased list of bills
81,6/9/21 10:01:35,6/9/21 10:06:18,anonymous,,Female,26,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Once,Read the entire table word for word;Analyze/compare rows or columns;,Finance / Money / Receipt / Invoice;Nutrition / Ingredient list / Dosage chart;Product Specifications;,Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Can’t see all the information I need at the same time;Text is too small;Hard to tell what text is in what row;,Table size Large is large and also text size is large .It is very comfortable to look at tables on our phone
82,6/9/21 10:00:37,6/9/21 10:06:20,anonymous,,Male,45,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,Never,Locate specific information;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Text is too small;,"That the table fit perfectly to the orientation of the phone, so you could see all the rows or columns at the same time, or at least as much as possible.
"
83,6/9/21 10:03:05,6/9/21 10:06:24,anonymous,,Male,58,Graduate Degree,cell phone comparison specs,In the last day,Never,Analyze/compare rows or columns;Copy/paste text from the table;Locate specific information;,"Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);Finance / Money / Receipt / Invoice;",Text/Numbers arranged in rows and columns,Hard,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;,"A bigger phone screen is all I can think of. I tend to avoid reading table, charts, on my iPhone because it's simply too much of a hassle."
84,6/9/21 10:01:09,6/9/21 10:06:25,anonymous,,Male,28,Bachelor's Degree,Nutrition / Ingredient list / Dosage chart,In the last day,Never,Read the entire table word for word;Analyze/compare rows or columns;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Nutrition / Ingredient list / Dosage chart;Schedule (Bus, event calendar, time sheet, etc.);","What you eat your breakfast, lunch, or dinner on",Neither Easy nor Hard,"View the table on a larger device (e.g., laptop or tablet)",Text is too small;Hard to tell what text is in what row;Hard to tell what text is in what column;,The tables on your phones it is very difficult to see that font size.
85,6/9/21 10:02:07,6/9/21 10:06:25,anonymous,,Male,26,Bachelor's Degree,Finance / Money / Receipt / Invoice,In the last week,More than once,Analyze/compare rows or columns;Locate specific information;Read the entire table word for word;,"Finance / Money / Receipt / Invoice;Restaurant Menu;Product Specifications;Schedule (Bus, event calendar, time sheet, etc.);",Text/Numbers arranged in rows and columns,Easy,"View the table on a larger device (e.g., laptop or tablet)",Table is too wide or too tall for screen;Can’t see all the information I need at the same time;Hard to tell what text is in what column;,"If the tables/web page were more reactive to you turning your screen sideways. It works fine sometimes, but others it makes you completely lose your place. It would also be nice if you could enter a ""table view"" where you can freeze rows or columns like you can in Excel. So basically you would be able to lock one column or row and keep it visible as you pan/scroll through other the other rows/columns."
